predict label: 7.143613566031234; real label: 3.0; 1:88.0 2:87.0 3:0.0 4:21.0 
predict label: 7.143646715440429; real label: 8.0; 1:63.0 2:92.0 3:32700.0 4:0.0 
predict label: 7.122674368611799; real label: 7.0; 1:46.0 2:93.0 3:11.0 4:0.0 
predict label: 7.143646714544905; real label: 3.0; 1:134.0 2:84.0 3:0.0 4:67.0 
predict label: 7.143646342378187; real label: 7.0; 1:118.0 2:87.0 3:1.0 4:2.0 
predict label: 7.143646715440429; real label: 1.0; 1:126.0 2:82.0 3:32700.0 4:30.0 
predict label: 7.143646715324572; real label: 6.0; 1:142.0 2:82.0 3:0.0 4:64.0 
predict label: 7.143646539416984; real label: 5.0; 1:119.0 2:84.0 3:12.0 4:30.0 
predict label: 7.143646637925547; real label: 3.0; 1:120.0 2:89.0 3:9.0 4:41.0 
predict label: 7.143640660876312; real label: 14.0; 1:96.0 2:84.0 3:18.0 4:36.0 
predict label: 7.143646106835283; real label: 5.0; 1:101.0 2:85.0 3:0.0 4:53.0 
predict label: 7.1436468064027885; real label: 7.0; 1:125.0 2:82.0 3:32.0 4:49.0 
